[[[144, 48, 87, 0], 18425]]
[[[128, 48, 41, 0], 18522]]
[[[240, 66, 48, 104], 22059]]
[[[67, 4, 8, 0], 22059]]
[[[2, 0, 0, 0], 22059]]
[[[43, 247, 0, 0], 22059]]
[[[240, 66, 48, 104], 22063]]
[[[67, 4, 8, 0], 22063]]
[[[2, 0, 0, 0], 22063]]
[[[43, 247, 0, 0], 22063]]
[[[240, 66, 48, 104], 22075]]
[[[67, 4, 8, 0], 22075]]
[[[2, 0, 0, 0], 22075]]
[[[43, 247, 0, 0], 22075]]
[[[240, 66, 48, 104], 22079]]
[[[67, 4, 8, 0], 22079]]
[[[2, 0, 0, 0], 22079]]
[[[44, 247, 0, 0], 22079]]
[[[240, 66, 48, 104], 22083]]
[[[67, 4, 8, 0], 22083]]
[[[2, 0, 0, 0], 22083]]
[[[44, 247, 0, 0], 22083]]
[[[240, 66, 48, 104], 22087]]
[[[67, 4, 8, 0], 22087]]
[[[2, 0, 0, 0], 22087]]
[[[44, 247, 0, 0], 22087]]
[[[240, 66, 48, 104], 22091]]
[[[67, 4, 8, 0], 22091]]
[[[2, 0, 0, 0], 22091]]
[[[45, 247, 0, 0], 22091]]
[[[240, 66, 48, 104], 22095]]
[[[67, 4, 8, 0], 22095]]
[[[2, 0, 0, 0], 22095]]
[[[45, 247, 0, 0], 22095]]
[[[240, 66, 48, 104], 22098]]
[[[67, 4, 8, 0], 22098]]
[[[2, 0, 0, 0], 22098]]
[[[45, 247, 0, 0], 22098]]
[[[240, 66, 48, 104], 22106]]
[[[67, 4, 8, 0], 22106]]
[[[2, 0, 0, 0], 22106]]
[[[46, 247, 0, 0], 22106]]
[[[240, 66, 48, 104], 22111]]
[[[67, 4, 8, 0], 22111]]
[[[2, 0, 0, 0], 22111]]
[[[46, 247, 0, 0], 22111]]
[[[240, 66, 48, 104], 22114]]
[[[67, 4, 8, 0], 22114]]
[[[2, 0, 0, 0], 22114]]
[[[47, 247, 0, 0], 22114]]
[[[240, 66, 48, 104], 22119]]
[[[67, 4, 8, 0], 22119]]
[[[2, 0, 0, 0], 22119]]
[[[47, 247, 0, 0], 22119]]
[[[240, 66, 48, 104], 22122]]
[[[67, 4, 8, 0], 22122]]
[[[2, 0, 0, 0], 22122]]
[[[48, 247, 0, 0], 22122]]
[[[240, 66, 48, 104], 22127]]
[[[67, 4, 8, 0], 22127]]
[[[2, 0, 0, 0], 22127]]
[[[48, 247, 0, 0], 22127]]
[[[240, 66, 48, 104], 22131]]
[[[67, 4, 8, 0], 22131]]
[[[2, 0, 0, 0], 22131]]
[[[49, 247, 0, 0], 22131]]
[[[240, 66, 48, 104], 22134]]
[[[67, 4, 8, 0], 22134]]
[[[2, 0, 0, 0], 22134]]
[[[49, 247, 0, 0], 22134]]
[[[240, 66, 48, 104], 22139]]
[[[67, 4, 8, 0], 22139]]
[[[2, 0, 0, 0], 22139]]
[[[49, 247, 0, 0], 22139]]
[[[240, 66, 48, 104], 22147]]
[[[67, 4, 8, 0], 22147]]
[[[2, 0, 0, 0], 22147]]
[[[50, 247, 0, 0], 22147]]
[[[240, 66, 48, 104], 22150]]
[[[67, 4, 8, 0], 22150]]
[[[2, 0, 0, 0], 22150]]
[[[50, 247, 0, 0], 22150]]
[[[240, 66, 48, 104], 22154]]
[[[67, 4, 8, 0], 22154]]
[[[2, 0, 0, 0], 22154]]
[[[51, 247, 0, 0], 22154]]
[[[240, 66, 48, 104], 22159]]
[[[67, 4, 8, 0], 22159]]
[[[2, 0, 0, 0], 22159]]
[[[51, 247, 0, 0], 22159]]
[[[240, 66, 48, 104], 22162]]
[[[67, 4, 8, 0], 22162]]
[[[2, 0, 0, 0], 22162]]
[[[52, 247, 0, 0], 22162]]
[[[240, 66, 48, 104], 22166]]
[[[67, 4, 8, 0], 22166]]
[[[2, 0, 0, 0], 22166]]
[[[52, 247, 0, 0], 22166]]
[[[240, 66, 48, 104], 22170]]
[[[67, 4, 8, 0], 22170]]
[[[2, 0, 0, 0], 22170]]
[[[52, 247, 0, 0], 22170]]
[[[240, 66, 48, 104], 22175]]
[[[67, 4, 8, 0], 22175]]
[[[2, 0, 0, 0], 22175]]
[[[53, 247, 0, 0], 22175]]
[[[240, 66, 48, 104], 22178]]
[[[67, 4, 8, 0], 22178]]
[[[2, 0, 0, 0], 22178]]
[[[53, 247, 0, 0], 22178]]
[[[240, 66, 48, 104], 22187]]
[[[67, 4, 8, 0], 22187]]
[[[2, 0, 0, 0], 22187]]
[[[54, 247, 0, 0], 22187]]
[[[240, 66, 48, 104], 22190]]
[[[67, 4, 8, 0], 22190]]
[[[2, 0, 0, 0], 22190]]
[[[54, 247, 0, 0], 22190]]
[[[240, 66, 48, 104], 22194]]
[[[67, 4, 8, 0], 22194]]
[[[2, 0, 0, 0], 22194]]
[[[54, 247, 0, 0], 22194]]
[[[240, 66, 48, 104], 22199]]
[[[67, 4, 8, 0], 22199]]
[[[2, 0, 0, 0], 22199]]
[[[55, 247, 0, 0], 22199]]
[[[240, 66, 48, 104], 22202]]
[[[67, 4, 8, 0], 22202]]
[[[2, 0, 0, 0], 22202]]
[[[55, 247, 0, 0], 22202]]
[[[240, 66, 48, 104], 22214]]
[[[67, 4, 8, 0], 22214]]
[[[2, 0, 0, 0], 22214]]
[[[55, 247, 0, 0], 22214]]
[[[240, 66, 48, 104], 22219]]
[[[67, 4, 8, 0], 22219]]
[[[2, 0, 0, 0], 22219]]
[[[56, 247, 0, 0], 22219]]
[[[240, 66, 48, 104], 22222]]
[[[67, 4, 8, 0], 22222]]
[[[2, 0, 0, 0], 22222]]
[[[56, 247, 0, 0], 22222]]
[[[240, 66, 48, 104], 22231]]
[[[67, 4, 8, 0], 22231]]
[[[2, 0, 0, 0], 22231]]
[[[56, 247, 0, 0], 22231]]
[[[240, 66, 48, 104], 22238]]
[[[67, 4, 8, 0], 22238]]
[[[2, 0, 0, 0], 22238]]
[[[57, 247, 0, 0], 22238]]
[[[240, 66, 48, 104], 22243]]
[[[67, 4, 8, 0], 22243]]
[[[2, 0, 0, 0], 22243]]
[[[57, 247, 0, 0], 22243]]
[[[240, 66, 48, 104], 22247]]
[[[67, 4, 8, 0], 22247]]
[[[2, 0, 0, 0], 22247]]
[[[57, 247, 0, 0], 22247]]
[[[240, 66, 48, 104], 22251]]
[[[67, 4, 8, 0], 22251]]
[[[2, 0, 0, 0], 22251]]
[[[58, 247, 0, 0], 22251]]
[[[240, 66, 48, 104], 22263]]
[[[67, 4, 8, 0], 22263]]
[[[2, 0, 0, 0], 22263]]
[[[58, 247, 0, 0], 22263]]
[[[240, 66, 48, 104], 22267]]
[[[67, 4, 8, 0], 22267]]
[[[2, 0, 0, 0], 22267]]
[[[59, 247, 0, 0], 22267]]
[[[240, 66, 48, 104], 22270]]
[[[67, 4, 8, 0], 22270]]
[[[2, 0, 0, 0], 22270]]
[[[59, 247, 0, 0], 22270]]
[[[240, 66, 48, 104], 22275]]
[[[67, 4, 8, 0], 22275]]
[[[2, 0, 0, 0], 22275]]
[[[59, 247, 0, 0], 22275]]
[[[240, 66, 48, 104], 23271]]
[[[67, 4, 8, 0], 23271]]
[[[2, 0, 0, 0], 23271]]
[[[58, 247, 0, 0], 23271]]
[[[240, 66, 48, 104], 23275]]
[[[67, 4, 8, 0], 23275]]
[[[2, 0, 0, 0], 23275]]
[[[57, 247, 0, 0], 23275]]
[[[240, 66, 48, 104], 23279]]
[[[67, 4, 8, 0], 23279]]
[[[2, 0, 0, 0], 23279]]
[[[57, 247, 0, 0], 23279]]
[[[240, 66, 48, 104], 23283]]
[[[67, 4, 8, 0], 23283]]
[[[2, 0, 0, 0], 23283]]
[[[57, 247, 0, 0], 23283]]
[[[240, 66, 48, 104], 23295]]
[[[67, 4, 8, 0], 23295]]
[[[2, 0, 0, 0], 23295]]
[[[56, 247, 0, 0], 23295]]
[[[240, 66, 48, 104], 23303]]
[[[67, 4, 8, 0], 23303]]
[[[2, 0, 0, 0], 23303]]
[[[56, 247, 0, 0], 23303]]
[[[240, 66, 48, 104], 23307]]
[[[67, 4, 8, 0], 23307]]
[[[2, 0, 0, 0], 23307]]
[[[55, 247, 0, 0], 23307]]
[[[240, 66, 48, 104], 23311]]
[[[67, 4, 8, 0], 23311]]
[[[2, 0, 0, 0], 23311]]
[[[55, 247, 0, 0], 23311]]
[[[240, 66, 48, 104], 23319]]
[[[67, 4, 8, 0], 23319]]
[[[2, 0, 0, 0], 23319]]
[[[55, 247, 0, 0], 23319]]
[[[240, 66, 48, 104], 23327]]
[[[67, 4, 8, 0], 23327]]
[[[2, 0, 0, 0], 23327]]
[[[54, 247, 0, 0], 23327]]
[[[240, 66, 48, 104], 23331]]
[[[67, 4, 8, 0], 23331]]
[[[2, 0, 0, 0], 23331]]
[[[53, 247, 0, 0], 23331]]
[[[240, 66, 48, 104], 23335]]
[[[67, 4, 8, 0], 23335]]
[[[2, 0, 0, 0], 23335]]
[[[52, 247, 0, 0], 23335]]
[[[240, 66, 48, 104], 23339]]
[[[67, 4, 8, 0], 23339]]
[[[2, 0, 0, 0], 23339]]
[[[52, 247, 0, 0], 23339]]
[[[240, 66, 48, 104], 23347]]
[[[67, 4, 8, 0], 23347]]
[[[2, 0, 0, 0], 23347]]
[[[51, 247, 0, 0], 23347]]
[[[240, 66, 48, 104], 23351]]
[[[67, 4, 8, 0], 23351]]
[[[2, 0, 0, 0], 23351]]
[[[50, 247, 0, 0], 23351]]
[[[240, 66, 48, 104], 23355]]
[[[67, 4, 8, 0], 23355]]
[[[2, 0, 0, 0], 23355]]
[[[50, 247, 0, 0], 23355]]
[[[240, 66, 48, 104], 23359]]
[[[67, 4, 8, 0], 23359]]
[[[2, 0, 0, 0], 23359]]
[[[49, 247, 0, 0], 23359]]
[[[240, 66, 48, 104], 23363]]
[[[67, 4, 8, 0], 23363]]
[[[2, 0, 0, 0], 23363]]
[[[49, 247, 0, 0], 23363]]
[[[240, 66, 48, 104], 23367]]
[[[67, 4, 8, 0], 23367]]
[[[2, 0, 0, 0], 23367]]
[[[49, 247, 0, 0], 23367]]
[[[144, 48, 85, 0], 603904]]
[[[128, 48, 57, 0], 604086]]
[[[144, 48, 95, 0], 632463]]
[[[128, 48, 58, 0], 632540]]
[[[144, 48, 97, 0], 634614]]
[[[128, 48, 61, 0], 634770]]
[[[240, 66, 48, 104], 642447]]
[[[67, 4, 8, 0], 642447]]
[[[2, 0, 0, 0], 642447]]
[[[50, 247, 0, 0], 642447]]
[[[240, 66, 48, 104], 642451]]
[[[67, 4, 8, 0], 642451]]
[[[2, 0, 0, 0], 642451]]
[[[51, 247, 0, 0], 642451]]
[[[240, 66, 48, 104], 642455]]
[[[67, 4, 8, 0], 642455]]
[[[2, 0, 0, 0], 642455]]
[[[51, 247, 0, 0], 642455]]
[[[240, 66, 48, 104], 642459]]
[[[67, 4, 8, 0], 642459]]
[[[2, 0, 0, 0], 642459]]
[[[52, 247, 0, 0], 642459]]
[[[240, 66, 48, 104], 642463]]
[[[67, 4, 8, 0], 642463]]
[[[2, 0, 0, 0], 642463]]
[[[52, 247, 0, 0], 642463]]
[[[240, 66, 48, 104], 642467]]
[[[67, 4, 8, 0], 642467]]
[[[2, 0, 0, 0], 642467]]
[[[53, 247, 0, 0], 642467]]
[[[240, 66, 48, 104], 642471]]
[[[67, 4, 8, 0], 642471]]
[[[2, 0, 0, 0], 642471]]
[[[54, 247, 0, 0], 642471]]
[[[240, 66, 48, 104], 642475]]
[[[67, 4, 8, 0], 642475]]
[[[2, 0, 0, 0], 642475]]
[[[55, 247, 0, 0], 642475]]
[[[240, 66, 48, 104], 642483]]
[[[67, 4, 8, 0], 642483]]
[[[2, 0, 0, 0], 642483]]
[[[56, 247, 0, 0], 642483]]
[[[240, 66, 48, 104], 642486]]
[[[67, 4, 8, 0], 642486]]
[[[2, 0, 0, 0], 642486]]
[[[56, 247, 0, 0], 642486]]
[[[240, 66, 48, 104], 642490]]
[[[67, 4, 8, 0], 642490]]
[[[2, 0, 0, 0], 642490]]
[[[58, 247, 0, 0], 642490]]
[[[240, 66, 48, 104], 642494]]
[[[67, 4, 8, 0], 642494]]
[[[2, 0, 0, 0], 642494]]
[[[58, 247, 0, 0], 642494]]
[[[240, 66, 48, 104], 642498]]
[[[67, 4, 8, 0], 642498]]
[[[2, 0, 0, 0], 642498]]
[[[59, 247, 0, 0], 642498]]
[[[240, 66, 48, 104], 642502]]
[[[67, 4, 8, 0], 642502]]
[[[2, 0, 0, 0], 642502]]
[[[60, 247, 0, 0], 642502]]
[[[240, 66, 48, 104], 642506]]
[[[67, 4, 8, 0], 642506]]
[[[2, 0, 0, 0], 642506]]
[[[61, 247, 0, 0], 642506]]
[[[240, 66, 48, 104], 642510]]
[[[67, 4, 8, 0], 642510]]
[[[2, 0, 0, 0], 642510]]
[[[62, 247, 0, 0], 642510]]
[[[240, 66, 48, 104], 642514]]
[[[67, 4, 8, 0], 642514]]
[[[2, 0, 0, 0], 642514]]
[[[63, 247, 0, 0], 642514]]
[[[240, 66, 48, 104], 642522]]
[[[67, 4, 8, 0], 642522]]
[[[2, 0, 0, 0], 642522]]
[[[64, 247, 0, 0], 642522]]
[[[240, 66, 48, 104], 642526]]
[[[67, 4, 8, 0], 642526]]
[[[2, 0, 0, 0], 642526]]
[[[65, 247, 0, 0], 642526]]
[[[240, 66, 48, 104], 642531]]
[[[67, 4, 8, 0], 642531]]
[[[2, 0, 0, 0], 642531]]
[[[66, 247, 0, 0], 642531]]
[[[240, 66, 48, 104], 642534]]
[[[67, 4, 8, 0], 642534]]
[[[2, 0, 0, 0], 642534]]
[[[67, 247, 0, 0], 642534]]
[[[240, 66, 48, 104], 642539]]
[[[67, 4, 8, 0], 642539]]
[[[2, 0, 0, 0], 642539]]
[[[68, 247, 0, 0], 642539]]
[[[240, 66, 48, 104], 642542]]
[[[67, 4, 8, 0], 642542]]
[[[2, 0, 0, 0], 642542]]
[[[69, 247, 0, 0], 642542]]
[[[240, 66, 48, 104], 642547]]
[[[67, 4, 8, 0], 642547]]
[[[2, 0, 0, 0], 642547]]
[[[70, 247, 0, 0], 642547]]
[[[240, 66, 48, 104], 642550]]
[[[67, 4, 8, 0], 642550]]
[[[2, 0, 0, 0], 642550]]
[[[71, 247, 0, 0], 642550]]
[[[240, 66, 48, 104], 642554]]
[[[67, 4, 8, 0], 642554]]
[[[2, 0, 0, 0], 642554]]
[[[72, 247, 0, 0], 642554]]
[[[240, 66, 48, 104], 642562]]
[[[67, 4, 8, 0], 642562]]
[[[2, 0, 0, 0], 642562]]
[[[73, 247, 0, 0], 642562]]
[[[240, 66, 48, 104], 642566]]
[[[67, 4, 8, 0], 642566]]
[[[2, 0, 0, 0], 642566]]
[[[74, 247, 0, 0], 642566]]
[[[240, 66, 48, 104], 642570]]
[[[67, 4, 8, 0], 642570]]
[[[2, 0, 0, 0], 642570]]
[[[75, 247, 0, 0], 642570]]
[[[240, 66, 48, 104], 642574]]
[[[67, 4, 8, 0], 642574]]
[[[2, 0, 0, 0], 642574]]
[[[76, 247, 0, 0], 642574]]
[[[240, 66, 48, 104], 642578]]
[[[67, 4, 8, 0], 642578]]
[[[2, 0, 0, 0], 642578]]
[[[77, 247, 0, 0], 642578]]
[[[240, 66, 48, 104], 642582]]
[[[67, 4, 8, 0], 642582]]
[[[2, 0, 0, 0], 642582]]
[[[78, 247, 0, 0], 642582]]
[[[240, 66, 48, 104], 642586]]
[[[67, 4, 8, 0], 642586]]
[[[2, 0, 0, 0], 642586]]
[[[79, 247, 0, 0], 642586]]
[[[240, 66, 48, 104], 642590]]
[[[67, 4, 8, 0], 642590]]
[[[2, 0, 0, 0], 642590]]
[[[80, 247, 0, 0], 642590]]
[[[240, 66, 48, 104], 642598]]
[[[67, 4, 8, 0], 642598]]
[[[2, 0, 0, 0], 642598]]
[[[81, 247, 0, 0], 642598]]
[[[240, 66, 48, 104], 642602]]
[[[67, 4, 8, 0], 642602]]
[[[2, 0, 0, 0], 642602]]
[[[82, 247, 0, 0], 642602]]
[[[240, 66, 48, 104], 642606]]
[[[67, 4, 8, 0], 642606]]
[[[2, 0, 0, 0], 642606]]
[[[83, 247, 0, 0], 642606]]
[[[240, 66, 48, 104], 642610]]
[[[67, 4, 8, 0], 642610]]
[[[2, 0, 0, 0], 642610]]
[[[84, 247, 0, 0], 642610]]
[[[240, 66, 48, 104], 642614]]
[[[67, 4, 8, 0], 642614]]
[[[2, 0, 0, 0], 642614]]
[[[85, 247, 0, 0], 642614]]
[[[240, 66, 48, 104], 642618]]
[[[67, 4, 8, 0], 642618]]
[[[2, 0, 0, 0], 642618]]
[[[86, 247, 0, 0], 642618]]
[[[240, 66, 48, 104], 642622]]
[[[67, 4, 8, 0], 642622]]
[[[2, 0, 0, 0], 642622]]
[[[87, 247, 0, 0], 642622]]
[[[240, 66, 48, 104], 642627]]
[[[67, 4, 8, 0], 642627]]
[[[2, 0, 0, 0], 642627]]
[[[88, 247, 0, 0], 642627]]
[[[240, 66, 48, 104], 642635]]
[[[67, 4, 8, 0], 642635]]
[[[2, 0, 0, 0], 642635]]
[[[89, 247, 0, 0], 642635]]
[[[240, 66, 48, 104], 642638]]
[[[67, 4, 8, 0], 642638]]
[[[2, 0, 0, 0], 642638]]
[[[90, 247, 0, 0], 642638]]
[[[240, 66, 48, 104], 642642]]
[[[67, 4, 8, 0], 642642]]
[[[2, 0, 0, 0], 642642]]
[[[91, 247, 0, 0], 642642]]
[[[240, 66, 48, 104], 642646]]
[[[67, 4, 8, 0], 642646]]
[[[2, 0, 0, 0], 642646]]
[[[92, 247, 0, 0], 642646]]
[[[240, 66, 48, 104], 642650]]
[[[67, 4, 8, 0], 642650]]
[[[2, 0, 0, 0], 642650]]
[[[93, 247, 0, 0], 642650]]
[[[240, 66, 48, 104], 642655]]
[[[67, 4, 8, 0], 642655]]
[[[2, 0, 0, 0], 642655]]
[[[94, 247, 0, 0], 642655]]
[[[240, 66, 48, 104], 642658]]
[[[67, 4, 8, 0], 642658]]
[[[2, 0, 0, 0], 642658]]
[[[95, 247, 0, 0], 642658]]
[[[240, 66, 48, 104], 642663]]
[[[67, 4, 8, 0], 642663]]
[[[2, 0, 0, 0], 642663]]
[[[96, 247, 0, 0], 642663]]
[[[240, 66, 48, 104], 642666]]
[[[67, 4, 8, 0], 642666]]
[[[2, 0, 0, 0], 642666]]
[[[97, 247, 0, 0], 642666]]
[[[240, 66, 48, 104], 642674]]
[[[67, 4, 8, 0], 642674]]
[[[2, 0, 0, 0], 642674]]
[[[98, 247, 0, 0], 642674]]
[[[240, 66, 48, 104], 642678]]
[[[67, 4, 8, 0], 642678]]
[[[2, 0, 0, 0], 642678]]
[[[99, 247, 0, 0], 642678]]
[[[240, 66, 48, 104], 642682]]
[[[67, 4, 8, 0], 642682]]
[[[2, 0, 0, 0], 642682]]
[[[100, 247, 0, 0], 642682]]
[[[240, 66, 48, 104], 642686]]
[[[67, 4, 8, 0], 642686]]
[[[2, 0, 0, 0], 642686]]
[[[100, 247, 0, 0], 642686]]
[[[240, 66, 48, 104], 642690]]
[[[67, 4, 8, 0], 642690]]
[[[2, 0, 0, 0], 642690]]
[[[101, 247, 0, 0], 642690]]
[[[240, 66, 48, 104], 642694]]
[[[67, 4, 8, 0], 642694]]
[[[2, 0, 0, 0], 642694]]
[[[102, 247, 0, 0], 642694]]
[[[240, 66, 48, 104], 642698]]
[[[67, 4, 8, 0], 642698]]
[[[2, 0, 0, 0], 642698]]
[[[103, 247, 0, 0], 642698]]
[[[240, 66, 48, 104], 642703]]
[[[67, 4, 8, 0], 642703]]
[[[2, 0, 0, 0], 642703]]
[[[103, 247, 0, 0], 642703]]
[[[240, 66, 48, 104], 642706]]
[[[67, 4, 8, 0], 642706]]
[[[2, 0, 0, 0], 642706]]
[[[104, 247, 0, 0], 642706]]
[[[240, 66, 48, 104], 642714]]
[[[67, 4, 8, 0], 642714]]
[[[2, 0, 0, 0], 642714]]
[[[105, 247, 0, 0], 642714]]
[[[240, 66, 48, 104], 642719]]
[[[67, 4, 8, 0], 642719]]
[[[2, 0, 0, 0], 642719]]
[[[105, 247, 0, 0], 642719]]
[[[240, 66, 48, 104], 642722]]
[[[67, 4, 8, 0], 642722]]
[[[2, 0, 0, 0], 642722]]
[[[106, 247, 0, 0], 642722]]
[[[240, 66, 48, 104], 642726]]
[[[67, 4, 8, 0], 642726]]
[[[2, 0, 0, 0], 642726]]
[[[107, 247, 0, 0], 642726]]
[[[240, 66, 48, 104], 642730]]
[[[67, 4, 8, 0], 642730]]
[[[2, 0, 0, 0], 642730]]
[[[107, 247, 0, 0], 642730]]
[[[240, 66, 48, 104], 642734]]
[[[67, 4, 8, 0], 642734]]
[[[2, 0, 0, 0], 642734]]
[[[108, 247, 0, 0], 642734]]
[[[240, 66, 48, 104], 642739]]
[[[67, 4, 8, 0], 642739]]
[[[2, 0, 0, 0], 642739]]
[[[108, 247, 0, 0], 642739]]
[[[240, 66, 48, 104], 642742]]
[[[67, 4, 8, 0], 642742]]
[[[2, 0, 0, 0], 642742]]
[[[109, 247, 0, 0], 642742]]
[[[240, 66, 48, 104], 642746]]
[[[67, 4, 8, 0], 642746]]
[[[2, 0, 0, 0], 642746]]
[[[109, 247, 0, 0], 642746]]
[[[240, 66, 48, 104], 642754]]
[[[67, 4, 8, 0], 642754]]
[[[2, 0, 0, 0], 642754]]
[[[110, 247, 0, 0], 642754]]
[[[240, 66, 48, 104], 642759]]
[[[67, 4, 8, 0], 642759]]
[[[2, 0, 0, 0], 642759]]
[[[110, 247, 0, 0], 642759]]
[[[240, 66, 48, 104], 642762]]
[[[67, 4, 8, 0], 642762]]
[[[2, 0, 0, 0], 642762]]
[[[110, 247, 0, 0], 642762]]
[[[240, 66, 48, 104], 643178]]
[[[67, 4, 8, 0], 643178]]
[[[2, 0, 0, 0], 643178]]
[[[109, 247, 0, 0], 643178]]
[[[240, 66, 48, 104], 643182]]
[[[67, 4, 8, 0], 643182]]
[[[2, 0, 0, 0], 643182]]
[[[108, 247, 0, 0], 643182]]
[[[240, 66, 48, 104], 643186]]
[[[67, 4, 8, 0], 643186]]
[[[2, 0, 0, 0], 643186]]
[[[108, 247, 0, 0], 643186]]
[[[240, 66, 48, 104], 643190]]
[[[67, 4, 8, 0], 643190]]
[[[2, 0, 0, 0], 643190]]
[[[107, 247, 0, 0], 643190]]
[[[240, 66, 48, 104], 643194]]
